username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
marceloindaniel;2016-03-30 17:50;1;2;"? Como seria se o #MasterChefBR fosse filmado no Brasil? http:// homembenigno.com.br/2016/03/30/mas … pic.twitter.com/07lssDN1Yw";;;#MasterChefBR;"715279950056595456";https://twitter.com/marceloindaniel/status/715279950056595456
ComparaTubers;2016-03-30 17:37;0;0;"agora quero ver <3 #MasterChefBR https:// twitter.com/masterchefbr/s tatus/715103825133236224 …";;;#MasterChefBR;"715276801862475776";https://twitter.com/ComparaTubers/status/715276801862475776
ComparaTubers;2016-03-30 17:36;0;0;"@masterchefbr Quero o Perfil Pessoal de todos que entrarm <3 Preciso Seguir todos já, #MasterChefBR";;@masterchefbr;#MasterChefBR;"715276634518069248";https://twitter.com/ComparaTubers/status/715276634518069248
gabi_lila;2016-03-30 17:36;0;0;"Quem nunca viajou na maionese? masterchefbr #masterchefbr #eunomasterchef #paixão #teamgabi … https://www. instagram.com/p/BDlz8BLGIFN/";;;#masterchefbr #eunomasterchef #paix #teamgabi;"715276456780251137";https://twitter.com/gabi_lila/status/715276456780251137
pricelesschick8;2016-03-30 17:13;2;0;"Follow @SuhilaBnLachhab http:// instagram.com/souhilaofficial #SouhilaBenLachhab #LoveWhatYouHave #MasterChefBR";;@SuhilaBnLachhab;#SouhilaBenLachhab #LoveWhatYouHave #MasterChefBR;"715270762979057666";https://twitter.com/pricelesschick8/status/715270762979057666
Hi_Tacia;2016-03-30 17:12;0;0;"Estou assistindo @masterchefbr em canais não oficiais, pois o oficial demora para postar no YouTube. #masterchefbr";;@masterchefbr;#masterchefbr;"715270419574558725";https://twitter.com/Hi_Tacia/status/715270419574558725
odiariodebrunaj;2016-03-30 17:11;31;0;"Conheça os participantes do #MasterChefBR http:// odiariodebrunajones.blogspot.com/2016/03/master chef-3-conheca-os-participantes.html?spref=tw …";;;#MasterChefBR;"715270290692042757";https://twitter.com/odiariodebrunaj/status/715270290692042757
juh_ferraresso;2016-03-30 17:08;0;1;"não sei se tô vendo aula de Economia ou assistindo o #MasterChefBR , a professora só fala de comida nos exemplos... miga para tô com fome!";;;#MasterChefBR;"715269538250625025";https://twitter.com/juh_ferraresso/status/715269538250625025
LiviaMaiaWalker;2016-03-30 17:08;0;0;"Quem ai ta assistindo #MasterChefBR ? -Môo - Não assisto tv http:// kiw.im/155syABGXfz";;;#MasterChefBR;"715269517925040130";https://twitter.com/LiviaMaiaWalker/status/715269517925040130
masterchefbr;2016-03-30 17:07;40;108;"Qual o seu tipo de corte? #MasterChefBR";;;#MasterChefBR;"715269345442709505";https://twitter.com/masterchefbr/status/715269345442709505
NehomiSaddleton;2016-03-30 17:04;0;1;"Good thing I don't live in #Slovenia #Horsemeat #MasterChefBR #masterchef";;;#Slovenia #Horsemeat #MasterChefBR #masterchef;"715268587083071489";https://twitter.com/NehomiSaddleton/status/715268587083071489
marceloindaniel;2016-03-30 17:01;1;2;"Quem seriam os integrantes do #MasterChefBR se ele fosse filmado no Brasil? http:// homembenigno.com.br/2016/03/30/mas terchefbr-no-brasil/ …";;;#MasterChefBR;"715267817113784320";https://twitter.com/marceloindaniel/status/715267817113784320
clusterytb;2016-03-30 16:55;0;2;"Boa tarde galera, bora jogar agario? #MalecKiss #AjudaLuciano #QuartaHumildeNoClubeSDV #MasterChefBR #RenunciaTemer";;;#MalecKiss #AjudaLuciano #QuartaHumildeNoClubeSDV #MasterChefBR #RenunciaTemer;"715266325736718336";https://twitter.com/clusterytb/status/715266325736718336
gabriellapalink;2016-03-30 16:49;1;2;"@DrJLMF muito obrigada!!! Agradeço de coração pela torcida #masterchefbr @masterchefbr";;@DrJLMF @masterchefbr;#masterchefbr;"715264759805947904";https://twitter.com/gabriellapalink/status/715264759805947904
ahiake;2016-03-30 16:24;0;0;"Ja tenho torcida no #masterChefBr , motivo, beleza em excesso!";;;#masterChefBr;"715258520258625536";https://twitter.com/ahiake/status/715258520258625536
Bandiva1;2016-03-30 16:22;0;0;"Como dizer não sem dar moleza e sem perder a classe by Paola Carosella! ;) #MasterChefBR @BandTV [GIF]➛ https://www. facebook.com/masterchefbr/p osts/955275744579962 …";;@BandTV;#MasterChefBR;"715257885052313600";https://twitter.com/Bandiva1/status/715257885052313600
facIubeband;2016-03-30 16:22;0;0;"Como dizer não sem dar moleza e sem perder a classe by Paola Carosella! ;) #MasterChefBR @BandTV [GIF]➛ https://www. facebook.com/masterchefbr/p osts/955275744579962 …";;@BandTV;#MasterChefBR;"715257884817375232";https://twitter.com/facIubeband/status/715257884817375232
TopTV_Brasil;2016-03-30 16:21;0;0;"Ontem 23h07 #PARxBRA 29.6 #ProgramaDoRatinho 7.4 #TrocaDeFamília 6.2 #MasterChefBR 3.7 #LucianaByNight 1.2";;;#PARxBRA #ProgramaDoRatinho #TrocaDeFam #MasterChefBR #LucianaByNight;"715257619741597703";https://twitter.com/TopTV_Brasil/status/715257619741597703
Bandiva1;2016-03-30 16:15;0;0;"Equipe completa do #MasterChefBR 3 da @BandTV ! [FOTO]➛ https://www. facebook.com/masterchefbr/p hotos/a.620744671366406.1073741828.585074268266780/954811431293060/?type=3&theater …";;@BandTV;#MasterChefBR;"715256182655598593";https://twitter.com/Bandiva1/status/715256182655598593
facIubeband;2016-03-30 16:15;0;0;"Equipe completa do #MasterChefBR 3 da @BandTV ! [FOTO]➛ https://www. facebook.com/masterchefbr/p hotos/a.620744671366406.1073741828.585074268266780/954811431293060/?type=3&theater …";;@BandTV;#MasterChefBR;"715256182559150081";https://twitter.com/facIubeband/status/715256182559150081
larisualoca;2016-03-30 16:15;0;0;"Começou negada #MasterChefBR pic.twitter.com/8VftMN0xER";;;#MasterChefBR;"715256056587370501";https://twitter.com/larisualoca/status/715256056587370501
juliana60365185;2016-03-30 16:12;0;5;"#MasterchefBR TOP 4 LEE Gabriella Livia/Victor ANtipatia Guilherme Pedro";;;#MasterchefBR;"715255376980082691";https://twitter.com/juliana60365185/status/715255376980082691
talisonmac;2016-03-30 16:09;0;0;"Queria #masterchefbr hj de novo";;;#masterchefbr;"715254754675396608";https://twitter.com/talisonmac/status/715254754675396608
018pedroayres;2016-03-30 15:53;0;0;"Ontem depois do jogo do Brasil , eu assisti #MasterChefBR na @BandTV";;@BandTV;#MasterChefBR;"715250557926121472";https://twitter.com/018pedroayres/status/715250557926121472
oneslasher;2016-03-30 15:53;0;0;"nunca assisti #MasterChefBR mas: se o programa é a versão brasileira por que não tem jurados brasileiros? e o mais humilhado vence no final?";;;#MasterChefBR;"715250499294011393";https://twitter.com/oneslasher/status/715250499294011393
babadosfamos0s;2016-03-30 15:51;0;0;"Conheça os participantes da terceira temporada do #MasterChefBR http:// bit.ly/1Sn12OJ pic.twitter.com/70zPycRfXk";;;#MasterChefBR;"715250024234528768";https://twitter.com/babadosfamos0s/status/715250024234528768
TVObservatorio;2016-03-30 15:49;0;0;"Conheça os participantes da terceira temporada do #MasterChefBR http:// bit.ly/1Sn12OJ pic.twitter.com/LE7EdOgvmG";;;#MasterChefBR;"715249544775221248";https://twitter.com/TVObservatorio/status/715249544775221248
NeuberFischer;2016-03-30 15:48;0;0;"Conheça os participantes da terceira temporada do #MasterChefBR http:// bit.ly/1Sn12OJ pic.twitter.com/cgNsiNtOa7";;;#MasterChefBR;"715249349312323585";https://twitter.com/NeuberFischer/status/715249349312323585
aiquelio;2016-03-30 15:48;0;0;"Nesse #MasterChefBR eu sou Team Lee (OBVIO), mas tb sou team Aluísio e Team Bruna São meus 3 finalistas";;;#MasterChefBR;"715249237542481920";https://twitter.com/aiquelio/status/715249237542481920
dinhoaugustto;2016-03-30 15:43;0;2;"Consolidados - BAND (29/03): #Fatmagül 3.6 #ShowDaFé 1.0 #MasterChef - A Prévia 1.9 #MasterChefBR 4.5 (5)";;;#Fatmag #ShowDaF #MasterChef #MasterChefBR;"715248033177464832";https://twitter.com/dinhoaugustto/status/715248033177464832
